"Formularz";"Nazwa pola";"Logiczna nazwa pola";"Typ pola";"Zrodlo wartosci";"Opis logiki";"Moment aktualizacji";"Uwagi"
"Cennik producenta";"Typ";"neu_typ";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Cennik producenta";"Data obowiązywania OD";"neu_validitydatefrom";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Cennik producenta";"Data obowiązywania DO";"neu_validitydateto";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Cennik producenta";"Numer oferty";"neu_quotenumber";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Cennik producenta";"Producent";"neu_producerid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Cennik producenta";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Cennik producenta";"Pozycje cennika producenta";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Ceny urzedowe MZ";"Kod EAN";"neu_eancode";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Ceny urzedowe MZ";"Cena urzędowa";"neu_priceassize";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Ceny urzedowe MZ";"Limit ceny z Programu Lekowego";"neu_pricedrugprogramlimit";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Ceny urzedowe MZ";"Maksymalna cena hurtowa";"neu_pricewholesalemaximum";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Ceny urzedowe MZ";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Ceny urzedowe MZ";"Utworzony przez";"createdby";"Lookup";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Ceny urzedowe MZ";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Ceny urzedowe MZ";"Zmodyfikowane przez";"modifiedby";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Ceny urzedowe MZ";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Dokument";"Przyczyna stanu";"statuscode";"Opcje wyboru
- Aktywne : 1
- Nieaktywne : 2";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Dokument";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Dokument";"Typ dokumentu";"neu_type";"Opcje wyboru
- Inne : 279660002
- Oferta konkurencji : 924650000
- Specyfikacja : 279660000
- Wzór umowy : 279660001";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Dokument";"Przetarg";"neu_opportunityid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Dokument";"Notatki";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Dokument";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Dokument";"Utworzony przez";"createdby";"Lookup";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Dokument";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Dokument";"Zmodyfikowane przez";"modifiedby";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Dokument";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"DrugFormPharmindex";"Nazwa leku";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Nazwa opakowania";"neu_fullname";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Kod EAN";"neu_ean";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Bloz7";"neu_bloz7";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Typ";"neu_typedrug";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"DrugFormPharmindex";"Id opakowania";"neu_id";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Numer rejestracji";"neu_regnr";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Dawka";"neu_dosage";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Postać";"neu_form";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Postać znormalizowana";"neu_formstandardized";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Opakowanie";"neu_package";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Drogi podania";"neu_routes";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Substancja czynna CSIOZ";"neu_activesubstancecsioz";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Refundowany";"neu_isreimbursed";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Psychotropowy";"neu_isnarcpsych";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Substancje pomocnicze";"neu_excipients";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Import docelowy";"neu_importd";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Import równoległy";"neu_import";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Drug Pharmindex";"neu_drug";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"DrugFormPharmindex";"Status";"neu_status";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Data modyfikacji";"neu_modified";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugFormPharmindex";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"DrugPharmindex";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Nazwa firmy farmaceutycznej";"neu_prodname";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Drug Id";"neu_id";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Data modyfikcji";"neu_modified";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Status";"neu_status";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Skład";"neu_composition";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Dopuuszczony-Pharmindex brak";"neu_csioz";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Substancja czynna CSIOZ";"neu_activesubstancecsioz";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Uwagi";"neu_notes";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"IDProd";"neu_idprod";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Producent";"neu_producerid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"DrugPharmindex";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"DrugPharmindex";"DrugForms Pharmindex";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"DrugPharmindex";"Substancje czynne";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Kryteria Szablonu";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Kryteria Szablonu";"Kryterium";"neu_criteriaid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Kryteria Szablonu";"Wartość";"neu_templatecriterion_value";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Kryteria Szablonu";"Typ";"neu_type";"Opcje wyboru
- Export : 279660001
- Import : 279660000";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Kryteria Szablonu";"Nazwa systemowa";"neu_systemname";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Kryteria Szablonu";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Kryteria Szablonu";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Kryteria Szablonu";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Matryca Zmian Postaci";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci";"Postać z";"neu_formfrom";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci";"Postać do";"neu_formto";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Matryca Zmian Postaci";"Postać z (wartość)";"neu_formfromvalue";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci";"Postać do (wartośc)";"neu_formtovalue";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Matryca Zmian Postaci";"Utworzony przez";"createdby";"Lookup";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Matryca Zmian Postaci";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Matryca Zmian Postaci";"Zmodyfikowane przez";"modifiedby";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Matryca Zmian Postaci";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Matryca Zmian Postaci Przetargu";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci Przetargu";"Matryca zmian postaci";"neu_formchancematrix";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Matryca Zmian Postaci Przetargu";"Przetarg";"neu_opportunityid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Matryca Zmian Postaci Przetargu";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Matryca Zmian Postaci Przetargu";"Utworzony przez";"createdby";"Lookup";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Matryca Zmian Postaci Przetargu";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Matryca Zmian Postaci Przetargu";"Zmodyfikowane przez";"modifiedby";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
